model,attack_family,n,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
catboost_tuned__wifi,Benign,41737,0.0,0.0,0.0,0.0011021395883748233,nan,0.0,0,41691,46,0
catboost_tuned__wifi,DDoS,1066764,1.0,0.9999981251710781,0.9999990625846603,0.0,nan,0.9999999999999999,1066762,0,0,2
catboost_tuned__wifi,DoS,416676,1.0,1.0,1.0,0.0,nan,1.0,416676,0,0,0
catboost_tuned__wifi,Recon,27676,1.0,0.9536421448186154,0.9762710610516192,0.0,nan,0.9999999999999999,26393,0,0,1283
catboost_tuned__wifi,Spoofing,1744,1.0,0.5,0.6666666666666666,0.0,nan,1.0,872,0,0,872
complex_mlp_tuned__wifi,Benign,41737,0.0,0.0,0.0,0.0007667058006085727,nan,0.0,0,41705,32,0
complex_mlp_tuned__wifi,DDoS,1066764,1.0,0.9999934380987735,0.9999967190386221,0.0,nan,1.0,1066757,0,0,7
complex_mlp_tuned__wifi,DoS,416676,1.0,0.9999976000537588,0.9999988000254395,0.0,nan,1.0,416675,0,0,1
complex_mlp_tuned__wifi,Recon,27676,1.0,0.9176904176904177,0.957078795643818,0.0,nan,1.0,25398,0,0,2278
complex_mlp_tuned__wifi,Spoofing,1744,1.0,0.0017201834862385322,0.0034344590726960505,0.0,nan,1.0,3,0,0,1741
weighted_ensemble__wifi,Benign,41737,0.0,0.0,0.0,0.00021563600642116108,nan,0.0,0,41728,9,0
weighted_ensemble__wifi,DDoS,1066764,1.0,0.9999962503421562,0.9999981251675631,0.0,nan,1.0,1066760,0,0,4
weighted_ensemble__wifi,DoS,416676,1.0,0.9999976000537588,0.9999988000254395,0.0,nan,1.0,416675,0,0,1
weighted_ensemble__wifi,Recon,27676,1.0,0.9547983812689695,0.9768765826879355,0.0,nan,1.0,26425,0,0,1251
weighted_ensemble__wifi,Spoofing,1744,1.0,0.4994266055045872,0.6661567877629063,0.0,nan,1.0,871,0,0,873
catboost_tuned__protocol_routed,Benign,48408,0.0,0.0,0.0,0.0009502561560072716,nan,0.0,0,48362,46,0
catboost_tuned__protocol_routed,DDoS,1117096,1.0,0.9999982096435759,0.9999991048209865,0.0,nan,1.0000000000000002,1117094,0,0,2
catboost_tuned__protocol_routed,DoS,428312,1.0,1.0,1.0,0.0,nan,1.0,428312,0,0,0
catboost_tuned__protocol_routed,Malformed,1747,1.0,0.7870635374928449,0.8808456117873158,0.0,nan,1.0,1375,0,0,372
catboost_tuned__protocol_routed,Other,25170,1.0,0.9802145411203814,0.9900084266281449,0.0,nan,1.0,24672,0,0,498
catboost_tuned__protocol_routed,Recon,27676,1.0,0.9536421448186154,0.9762710610516192,0.0,nan,0.9999999999999999,26393,0,0,1283
catboost_tuned__protocol_routed,Spoofing,1744,1.0,0.5,0.6666666666666666,0.0,nan,1.0,872,0,0,872
complex_mlp_tuned__protocol_routed,Benign,48408,0.0,0.0,0.0,0.0006817055032226078,nan,0.0,0,48375,33,0
complex_mlp_tuned__protocol_routed,DDoS,1117096,1.0,0.9999812012575463,0.9999906005404242,0.0,nan,1.0,1117075,0,0,21
complex_mlp_tuned__protocol_routed,DoS,428312,1.0,0.9999883262668335,0.9999941630993475,0.0,nan,1.0,428307,0,0,5
complex_mlp_tuned__protocol_routed,Malformed,1747,1.0,0.6943331425300515,0.8195945945945946,0.0,nan,1.0,1213,0,0,534
complex_mlp_tuned__protocol_routed,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
complex_mlp_tuned__protocol_routed,Recon,27676,1.0,0.9176904176904177,0.957078795643818,0.0,nan,1.0,25398,0,0,2278
complex_mlp_tuned__protocol_routed,Spoofing,1744,1.0,0.0017201834862385322,0.0034344590726960505,0.0,nan,1.0,3,0,0,1741
lightgbm_tuned__protocol_routed,Benign,6671,0.0,0.0,0.0,0.0,nan,0.0,0,6671,0,0
lightgbm_tuned__protocol_routed,DDoS,50332,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
lightgbm_tuned__protocol_routed,DoS,11636,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
lightgbm_tuned__protocol_routed,Malformed,1747,1.0,0.9158557527189468,0.9560800717060054,0.0,nan,1.0,1600,0,0,147
lightgbm_tuned__protocol_routed,Other,25170,0.0,0.0,0.0,0.0,nan,1.0,0,0,0,25170
weighted_ensemble__protocol_routed,Benign,48408,0.0,0.0,0.0,0.015348702693769626,nan,0.0,0,47665,743,0
weighted_ensemble__protocol_routed,DDoS,1117096,1.0,0.9999964192871517,0.9999982096403705,0.0,nan,1.0,1117092,0,0,4
weighted_ensemble__protocol_routed,DoS,428312,1.0,0.9999976652533668,0.9999988326253206,0.0,nan,1.0,428311,0,0,1
weighted_ensemble__protocol_routed,Malformed,1747,1.0,0.8374356038923869,0.9115264797507788,0.0,nan,1.0,1463,0,0,284
weighted_ensemble__protocol_routed,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
weighted_ensemble__protocol_routed,Recon,27676,1.0,0.9547983812689695,0.9768765826879355,0.0,nan,1.0,26425,0,0,1251
weighted_ensemble__protocol_routed,Spoofing,1744,1.0,0.4994266055045872,0.6661567877629063,0.0,nan,1.0,871,0,0,873
xgboost_tuned__protocol_routed,Benign,48408,0.0,0.0,0.0,0.00014460419765328046,nan,0.0,0,48401,7,0
xgboost_tuned__protocol_routed,DDoS,1117096,1.0,0.9999919433960913,0.9999959716818184,0.0,nan,0.9999999999999999,1117087,0,0,9
xgboost_tuned__protocol_routed,DoS,428312,1.0,0.9999929957601001,0.9999964978677852,0.0,nan,0.9999999999999998,428309,0,0,3
xgboost_tuned__protocol_routed,Malformed,1747,1.0,0.8895248998282771,0.941532868827628,0.0,nan,1.0,1554,0,0,193
xgboost_tuned__protocol_routed,Other,25170,1.0,0.9830353595550259,0.9914451144992287,0.0,nan,1.0,24743,0,0,427
xgboost_tuned__protocol_routed,Recon,27676,1.0,0.9479693597340656,0.9732898056091408,0.0,nan,1.0,26236,0,0,1440
xgboost_tuned__protocol_routed,Spoofing,1744,1.0,0.4994266055045872,0.6661567877629063,0.0,nan,1.0,871,0,0,873
