attack_method,epsilon,scope,protocol_hint,rows,l0_mean,l0_median,l0_p95,l2_mean,l2_median,l2_p95,linf_mean,linf_median,linf_p95,l2_norm_mean,l2_norm_median,l2_norm_p95,linf_norm_mean,linf_norm_median,linf_norm_p95,below_lower_violations,above_upper_violations,locked_change_rows,locked_change_max_abs
surrogate_pgd,0.02,protocol,bluetooth,500,13.0,13.0,13.0,139011.60357388313,140736.56740812515,140736.5677451613,138882.27103125,140605.5,140605.5,0.8670423479551187,0.6314598215506557,1.2434717640952595,0.8284848989795582,0.6307692307692307,1.0,0,0,0,0.0
surrogate_pgd,0.02,protocol,mqtt,500,20.056,21.0,21.0,1129067.7586237004,1133271.2407689122,1133271.7700268528,1128450.5128538818,1133240.0,1133240.0,0.0993511947288376,0.023176148715006742,0.059392350169248716,0.0732236952293434,0.00994088326161919,0.05482906644827131,0,0,0,0.0
surrogate_pgd,0.02,protocol,wifi,500,19.042,19.0,20.0,444579.10295759974,447245.06943422835,447246.44895083044,442838.9673800812,447152.0,447152.0,0.07991496873224804,0.022701927871519527,0.02322559303441227,0.06245910549044009,0.014099961534527356,0.014099961534527356,0,0,0,0.0
heuristic_shap,0.0,global,,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2557,187,0,0.0
heuristic_shap,0.0,protocol,bluetooth,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2504,79,0,0.0
heuristic_shap,0.0,protocol,mqtt,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,69,0,0.0
heuristic_shap,0.0,protocol,wifi,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,39,0,0.0
heuristic_shap,0.02,global,,1500,6.082666666666666,5.0,10.0,2392912.1877534078,3398000.000011948,3401696.0070995907,2391918.842090447,3398000.0,3401696.0,0.3580997133647777,0.044341603431420275,1.2437476009753836,0.32638660030617006,0.020000014300376002,1.0,0,0,0,0.0
heuristic_shap,0.02,protocol,bluetooth,500,9.158,9.0,10.0,456164.1938392378,472879.40590177977,472879.655686267,455771.094,472471.75,472472.0,0.8679665147419713,0.6324860219076648,1.2439990403260106,0.8284848989795582,0.6307692307692307,1.0,0,0,0,0.0
heuristic_shap,0.02,protocol,mqtt,500,4.572,5.0,6.0,3358254.0457168045,3401696.000025048,3401696.44495735,3355964.286781472,3401696.0,3401696.0,0.10832121812436586,0.03464299335815123,0.0617619678480044,0.08259895515335555,0.02000000654924096,0.05482906644827131,0,0,0,0.0
heuristic_shap,0.02,protocol,wifi,500,4.518,5.0,5.0,3364318.323704181,3398000.000011948,3398000.0000128173,3364021.1454898682,3398000.0,3398000.0,0.09801140722799592,0.044341603431420275,0.04472133512165206,0.06807594678559634,0.020000014300376002,0.020000014300376002,0,0,0,0.0
